HHID,EAID,Region,riceSystem,SSR_Yha,BRR_Yha,ZCC_Yha,rateNPK,rateUrea,ureaBRR,NPKBRR,rateN,rateN_BRR,useN_effSSR,plot,useN
SGHHNG000498,SGEANG000108,Region3,irrigated,5.653030043,6.002675869,1.891705916,252,200,87,267,127.28,77.4,-33.13982512,T3,77.55395179
SGHHNG000499,SGEANG000108,Region3,irrigated,3.910019869,3.42548853,NA,252,200,87,267,127.28,77.4,-13.53712848,T3,44.25695775
SGHHNG000500,SGEANG000108,Region3,irrigated,5.213665236,5.715950885,NA,252,200,87,267,127.28,77.4,-32.88732277,T3,73.84949464
SGHHNG000502,SGEANG000108,Region3,irrigated,4.992763121,4.678590604,NA,252,200,87,267,127.28,77.4,-21.22029545,T3,60.44690703
SGHHNG000503,SGEANG000108,Region3,irrigated,5.067012278,4.683126187,NA,252,200,87,267,127.28,77.4,-20.69554182,T3,60.5055063
SGHHNG000504,SGEANG000108,Region3,irrigated,4.809254237,4.392997738,NA,252,200,87,267,127.28,77.4,-18.97223827,T3,56.75707671
SGHHNG000505,SGEANG000108,Region3,irrigated,3.796151899,3.43538375,2.415936705,252,200,87,267,127.28,77.4,-14.5595995,T3,44.38480298
SGHHNG000506,SGEANG000108,Region3,irrigated,3.570652174,3.309456522,NA,252,200,87,267,127.28,77.4,-14.70431503,T3,42.7578362
SGHHNG000507,SGEANG000108,Region3,irrigated,6.267740698,6.504313944,1.534813982,252,200,87,267,127.28,77.4,-34.79134374,T3,84.03506387
SGHHNG000513,SGEANG000107,Region3,irrigated,4.009587063,3.235397727,4.168804159,NA,175,87,267,NA,77.4,NA,T3,41.80100423
SGHHNG000516,SGEANG000107,Region3,irrigated,3.142118863,2.926361279,2.650549451,73,217,87,267,110.04,77.4,-9.253951718,T3,37.80828526
SGHHNG000520,SGEANG000107,Region3,rainfedLowland,4.588911825,3.961583578,4.029484902,170,206,87,267,118.56,77.4,-12.47785372,T3,51.18325036
SGHHNG000521,SGEANG000107,Region3,irrigated,1.668777229,1.508676599,1.114336493,40,207,87,267,100.82,77.4,-2.939900211,T3,19.49194573
SGHHNG000525,SGEANG000107,Region3,irrigated,4.67175174,4.252798615,3.455957944,73,217,87,267,110.04,77.4,-12.49068637,T3,54.94571854
SGHHNG000526,SGEANG000107,Region3,irrigated,4.725854514,3.910851809,2.840830652,7,195,87,267,90.68,77.4,1.587930147,T3,50.52780115
SGHHNG000529,SGEANG000107,Region3,irrigated,3.543152302,3.299556082,2.518168213,370,180,87,267,134.6,77.4,-16.30635517,T3,42.62992354
