,household,enumerator,event,region,SSR_Yplot,BRR_Yplot,ZCC_Yplot,plotL1_BRR,plotL2_BRR,plotW1_BRR,plotW2_BRR,plotL1_SSR,plotL2_SSR,plotW1_SSR,plotW2_SSR,plotL1_ZCC,plotL2_ZCC,plotW1_ZCC,plotW2_ZCC,riceSystem,plotSizeBRR,plotSizeSSR,plotSizeZCC,T1_Yha,T2_Yha,T3_Yha,X,moistZCC,moistBRR,moistSSR,moistureBRR,moistureSSR,moistureZCC,SSR_BRR,SSR_ZCC,BRR_ZCC,incrBRR,incrSSR,eSSR,ecdf,lower,upper
54,SGHHNG000488,SGEANG000109,event6R,Region3,53.4,49.7,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,5.403195266,5.04973262,NA,57,0,14.2,13.5,12.2,12.66666667,0,0.466666667,12.66666667,12.2,NA,NA,0.353462646,0.384615385,0.125737708,0.643493061
55,SGHHNG000490,SGEANG000109,event6R,Region3,55.5,49.4,21.4,10.2,10.1,10,10,10,10,10,10,10,10,5,5,Irrigated,101.5,100,50,5.358836815,4.723360713,4.17025641,58,15.3,17.6,18.6,17.46666667,18.06666667,17,0.6,1.066666667,0.466666667,0.553104303,1.188580405,0.635476102,0.807692308,0.548814631,1
56,SGHHNG000498,SGEANG000108,event6R,Region3,57.77,59.23,9.63,10,10,9.3,10,10,10,10,10,10,10,5,5,Irrigated,96.5,100,50,5.653030043,6.002675869,1.891705916,59,16,16.5,16.8,16.56666667,16.5,16.06666667,-0.066666667,0.433333333,0.5,4.110969953,3.761324127,-0.349645826,0.076923077,0,0.335800753
57,SGHHNG000499,SGEANG000108,event6R,Region3,36.25,31.83,0,10,10,9,9,10,10,9,9,10,10,5,5,Irrigated,90,90,50,3.910019869,3.42548853,NA,60,0,17.7,17.4,17.7,17.43333333,0,-0.266666667,17.43333333,17.7,NA,NA,0.484531339,0.615384615,0.356506939,0.874262292
58,SGHHNG000500,SGEANG000108,event6R,Region3,53.28,58.53,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,5.213665236,5.715950885,NA,61,0,16.7,16.5,16.73333333,16.5,0,-0.233333333,16.5,16.73333333,NA,NA,-0.502285649,0.038461538,0,0.297339215
59,SGHHNG000502,SGEANG000108,event6R,Region3,52.57,48.92,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,4.992763121,4.678590604,NA,62,0,20.2,20,19.2,20.03333333,0,0.833333333,20.03333333,19.2,NA,NA,0.314172517,0.346153846,0.08727617,0.605031523
60,SGHHNG000503,SGEANG000108,event6R,Region3,54.3,50.46,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,5.067012278,4.683126187,NA,63,0,20.7,20.5,22.83333333,22.16666667,0,-0.666666667,22.16666667,22.83333333,NA,NA,0.383886091,0.5,0.241122323,0.758877677
61,SGHHNG000504,SGEANG000108,event6R,Region3,49.78,45.42,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,4.809254237,4.392997738,NA,64,0,17.8,18,17.86666667,18,0,0.133333333,18,17.86666667,NA,NA,0.4162565,0.538461538,0.279583862,0.797339215
62,SGHHNG000505,SGEANG000108,event6R,Region3,39.46,35.73,12.5,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,3.796151899,3.43538375,2.415936705,65,17.9,18.7,18.3,18.56666667,18.5,17.96666667,-0.066666667,0.533333333,0.6,1.019447045,1.380215193,0.360768148,0.461538462,0.202660785,0.720416138
63,SGHHNG000506,SGEANG000108,event6R,Region3,36.5,33.83,0,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,3.570652174,3.309456522,NA,66,0,16.6,16.6,16.53333333,16.53333333,0,3.55E-15,16.53333333,16.53333333,NA,NA,0.261195652,0.269230769,0.010353093,0.528108446
64,SGHHNG000507,SGEANG000108,event6R,Region3,64.5,67.65,8.62,11,11,9,9,11,11,9,9,9,9,6,6,Irrigated,99,99,54,6.267740698,6.504313944,1.534813982,67,18.5,19.6,18.5,19.76666667,18.5,18.56666667,-1.266666667,-0.066666667,1.2,4.969499962,4.732926716,-0.236573246,0.115384615,0,0.374262292
65,SGHHNG000513,SGEANG000107,event6R,Region3,40.6,33.3,21.1,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,4.009587063,3.235397727,4.168804159,68,14.9,16.9,15.3,17.33333333,15.43333333,15.4,-1.9,0.033333333,1.933333333,-0.933406432,-0.159217096,0.774189336,0.923076923,0.664199247,1
66,SGHHNG000516,SGEANG000107,event6R,Region3,32,29.7,13.4,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,3.142118863,2.926361279,2.650549451,69,14.6,14.9,15.1,15.7,16.1,15.26666667,0.4,0.833333333,0.433333333,0.275811829,0.491569412,0.215757584,0.192307692,0,0.451185369
67,SGHHNG000520,SGEANG000107,event6R,Region3,45.5,39.5,19.9,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,4.588911825,3.961583578,4.029484902,70,13.2,13.5,14.1,13.66666667,13.03333333,12.6,-0.633333333,0.433333333,1.066666667,-0.067901325,0.559426923,0.627328248,0.769230769,0.510353093,1
68,SGHHNG000521,SGEANG000107,event6R,Region3,16.8,15.1,5.5,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,1.668777229,1.508676599,1.114336493,71,13,14.3,13.8,14.1,14.76666667,12.53333333,0.666666667,2.233333333,1.566666667,0.394340107,0.554440736,0.16010063,0.153846154,0,0.41272383
69,SGHHNG000525,SGEANG000107,event6R,Region3,47.1,43.1,17.3,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,4.67175174,4.252798615,3.455957944,72,14.3,14.9,14.3,15.53333333,14.93333333,14.13333333,-0.6,0.8,1.4,0.796840671,1.215793796,0.418953125,0.576923077,0.3180454,0.835800753
70,SGHHNG000526,SGEANG000107,event6R,Region3,47.3,39.2,14.2,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,4.725854514,3.910851809,2.840830652,73,12.3,14.3,14.1,14.26666667,14.1,13.96666667,-0.166666667,0.133333333,0.3,1.070021156,1.885023861,0.815002705,0.961538462,0.702660785,1
71,SGHHNG000529,SGEANG000107,event6R,Region3,35.1,32.6,12.3,10,10,10,10,10,10,10,10,10,10,5,5,Irrigated,100,100,50,3.543152302,3.299556082,2.518168213,74,12.3,12.7,13.2,12.63333333,12.93333333,11.36666667,0.3,1.566666667,1.266666667,0.781387869,1.024984089,0.243596221,0.230769231,0,0.489646907
